solx.02.dlnVp.invSAo**  225.75
  147.88  -18.93   0.5192E-02
  148.09  -18.30   0.2852E-02
  148.31  -17.68   0.7871E-03
  148.52  -17.07  -0.1347E-02
  148.73  -16.45  -0.8608E-03
  148.94  -15.84  -0.6039E-04
  149.14  -15.24   0.3906E-04
  149.34  -14.64  -0.5864E-05
  149.54  -14.05  -0.2963E-04
  149.74  -13.46   0.1540E-03
  149.93  -12.87   0.8834E-03
  150.12  -12.29  -0.1195E-03
  150.31  -11.71  -0.9856E-02
  150.50  -11.14  -0.2805E-01
  150.68  -10.57  -0.3671E-01
  150.86  -10.00  -0.2288E-01
  151.04   -9.44  -0.8207E-02
  151.22   -8.88  -0.7374E-02
  151.40   -8.33  -0.2098E-01
  151.57   -7.77  -0.1192E-01
  151.75   -7.23   0.6967E-01
  151.92   -6.68   0.1020E+00
  152.09   -6.14  -0.1497E+00
  152.26   -5.60  -0.4325E+00
  152.43   -5.07  -0.1903E+00
  152.60   -4.53   0.1310E+00
  152.76   -4.00   0.2685E+00
  152.93   -3.48   0.3329E+00
  153.09   -2.95   0.2072E+00
  153.26   -2.43   0.2702E-01
  153.42   -1.91  -0.9341E-01
  153.58   -1.40  -0.1007E+00
  153.74   -0.89  -0.3783E-01
  153.90   -0.37   0.1993E-02
  154.06    0.13   0.2937E-02
  154.21    0.64   0.4154E-05
  154.37    1.14   0.1142E-04
  154.53    1.65   0.2834E-04
  154.68    2.15  -0.1572E-04
  154.84    2.65  -0.1040E-04
  154.99    3.14   0.4504E-05
  155.15    3.64   0.4337E-04
  155.30    4.13   0.1432E-04
  155.46    4.62  -0.6098E-04
  155.61    5.11  -0.7142E-04
  155.77    5.60  -0.1022E-03
  155.92    6.09  -0.7138E-04
  156.07    6.57  -0.6235E-04
  156.23    7.05   0.3078E-04
  156.38    7.54   0.5073E-04
  156.53    8.02   0.1373E-05
  156.68    8.50  -0.7171E-05
  156.84    8.98  -0.6706E-06
  156.99    9.46   0.4094E-06
  157.14    9.94   0.5727E-07
  157.30   10.41   0.4849E-07
  157.45   10.89   0.1461E-07
  157.61   11.37  -0.3852E-06
  157.76   11.84  -0.1083E-06
  157.92   12.32   0.9688E-06
  158.07   12.79   0.1272E-05
  158.23   13.26  -0.1018E-04
  158.38   13.74  -0.4571E-04
  158.54   14.21   0.6770E-04
  158.70   14.68   0.3931E-03
  158.86   15.16  -0.3550E-03
  159.02   15.63  -0.1537E-02
  159.18   16.10   0.2753E-02
  159.34   16.58   0.5514E-02
  159.50   17.05   0.4078E-02
  159.66   17.52   0.4097E-02
  159.83   18.00  -0.1252E-01
  159.99   18.47  -0.2031E-01
  160.16   18.95  -0.8473E-02
  160.32   19.42  -0.9419E-04
  160.49   19.90   0.9022E-03
  160.66   20.37   0.2283E-03
  160.83   20.85  -0.1273E-05
  161.01   21.33  -0.1330E-04
  161.18   21.81  -0.1009E-04
  161.35   22.28  -0.6296E-05
  161.53   22.76  -0.1166E-05
  161.71   23.25   0.1231E-05
  161.89   23.73   0.5566E-06
  162.07   24.21   0.5912E-07
  162.26   24.70   0.1947E-07
  162.44   25.18   0.4066E-08
  162.63   25.67  -0.4815E-08
  162.82   26.16  -0.2293E-08
  163.02   26.65   0.1581E-09
  163.21   27.14   0.2717E-09
  163.41   27.64  -0.4697E-10
  163.61   28.13  -0.3613E-10
  163.81   28.63   0.5639E-11
  164.02   29.13   0.3366E-11
  164.23   29.63  -0.2412E-12
  164.44   30.13   0.3816E-12
  164.65   30.64   0.4389E-11
  164.87   31.14   0.1293E-10
  165.09   31.65  -0.4848E-11
  165.32   32.16  -0.6956E-10
  165.55   32.68  -0.4634E-10
  165.78   33.19   0.9457E-11
  166.02   33.71   0.6949E-10
  166.26   34.23   0.4772E-10
  166.51   34.75   0.4254E-10
  166.76   35.28  -0.2462E-10
  167.01   35.81  -0.5532E-10
  167.27   36.34  -0.2153E-10
  167.54   36.87  -0.3159E-10
  167.81   37.41  -0.2838E-11
  168.08   37.95   0.7630E-11
  168.37   38.49  -0.1037E-10
  168.66   39.04  -0.1496E-10
  168.95   39.58   0.1319E-10
  169.25   40.14   0.6300E-10
  169.56   40.69  -0.3708E-09
  169.88   41.25  -0.2807E-08
  170.20   41.81   0.1301E-07
  170.54   42.37   0.9276E-07
  170.88   42.94  -0.3029E-06
  171.23   43.51  -0.1986E-05
  171.59   44.08   0.4094E-05
  171.96   44.66   0.2448E-04
  172.34   45.24  -0.2107E-04
  172.73   45.82  -0.1331E-03
  173.13   46.41  -0.1481E-03
  173.54   47.00  -0.1840E-03
  148.34  -19.42  -0.1207E-01
  148.56  -18.80  -0.1040E-01
  148.78  -18.17  -0.6315E-02
  149.00  -17.55  -0.2992E-02
  149.21  -16.94  -0.6683E-03
  149.43  -16.33   0.1432E-03
  149.63  -15.72   0.8296E-04
  149.84  -15.12  -0.1092E-04
  150.04  -14.52  -0.2241E-04
  150.24  -13.93   0.1294E-03
  150.44  -13.34   0.7385E-03
  150.63  -12.76   0.4420E-03
  150.82  -12.17  -0.5983E-02
  151.01  -11.60  -0.1797E-01
  151.20  -11.02  -0.1786E-01
  151.39  -10.45  -0.1230E-02
  151.57   -9.89   0.7711E-02
  151.76   -9.33  -0.3207E-02
